bid_id,user_id,ad_id,bid_price,bid_date
1,32,48,181874194,2022-08-08 03:36:56
2,2,6,184901554,2022-04-05 00:57:20
3,76,116,108153583,2022-12-18 14:09:46
4,4,76,155387583,2022-08-10 10:18:20
5,2,89,142167746,2022-09-12 22:55:57
6,28,68,149532100,2022-06-05 16:49:17
7,87,176,93262780,2022-11-20 14:06:41
8,60,48,178564534,2022-07-25 15:48:27
9,46,63,117311432,2022-07-27 18:20:34
10,18,98,94195402,2022-12-11 11:48:59
11,39,163,144500419,2022-09-14 16:52:43
12,62,37,217326508,2022-04-12 13:40:03
13,60,40,87524307,2022-06-13 20:51:34
14,60,124,116365941,2022-10-16 16:23:37
15,83,102,395394209,2022-06-10 12:16:39
16,94,103,84791336,2022-06-27 00:57:10
17,71,58,188281033,2022-05-16 11:46:56
18,9,24,155513790,2022-12-24 04:22:36
19,47,52,103883108,2022-05-30 08:54:49
20,46,95,406295565,2023-02-04 22:32:18
21,45,102,396604690,2022-07-20 13:04:59
22,19,186,377932199,2022-09-28 23:57:15
23,9,96,71121277,2022-02-23 04:29:09
24,2,83,73605611,2022-12-03 11:47:20
25,48,6,166889456,2022-07-01 19:09:49
26,9,26,199724574,2022-07-29 01:07:38
27,20,102,403121989,2022-08-13 14:11:50
28,48,191,395264527,2022-12-24 07:08:03
29,18,48,179428196,2022-07-19 13:37:05
30,59,103,74174953,2022-04-06 19:54:18
31,16,93,161834946,2022-05-16 10:40:55
32,25,102,406647411,2022-07-09 09:08:53
33,32,153,107357391,2022-07-20 16:18:09
34,90,177,107285880,2022-09-13 01:15:30
35,58,68,163013440,2022-05-12 20:31:06
36,35,22,102639209,2022-06-04 08:59:58
37,45,170,222983848,2023-01-25 04:33:35
38,42,186,381993943,2022-09-22 09:34:35
39,95,79,73662179,2022-10-31 07:30:32
40,80,36,158814557,2023-01-15 02:30:16
41,55,126,181392503,2022-12-15 22:24:36
42,72,186,368357806,2022-11-17 10:12:15
43,63,180,70051990,2022-06-09 14:08:04
44,91,15,111662667,2022-08-10 16:15:29
45,60,136,98172507,2022-03-13 10:19:48
46,23,70,201029395,2022-11-08 08:06:45
47,31,14,180238938,2023-03-12 20:28:46
48,37,17,142272723,2022-09-30 08:57:55
49,11,133,138564239,2022-09-07 22:38:04
50,18,124,130687448,2022-09-06 10:59:33
51,33,187,223594278,2022-03-25 01:36:17
52,81,6,180120862,2022-04-30 02:18:18
53,48,158,161895976,2023-03-12 01:44:22
54,57,70,219113776,2022-09-14 16:13:20
55,62,177,97736082,2022-09-03 16:38:19
56,10,98,102209374,2022-12-03 09:20:30
57,3,163,141877218,2022-08-22 20:13:41
58,43,16,104859391,2022-10-02 15:56:52
59,98,17,159421853,2022-06-27 01:16:17
60,94,62,157336658,2022-11-03 00:24:37
61,59,176,105454470,2022-08-07 23:39:09
62,71,15,90225008,2022-07-31 16:48:23
63,24,189,157896674,2022-10-19 19:32:16
64,31,118,197231973,2023-01-18 21:09:42
65,12,25,155763591,2022-03-29 17:46:48
66,90,82,76578254,2022-06-29 05:09:01
67,15,158,151265134,2022-12-11 22:59:32
68,89,84,149299270,2022-07-04 14:27:34
69,14,136,115839622,2022-05-06 18:39:42
70,22,163,140292555,2022-08-06 21:30:30
71,54,124,115072398,2022-08-15 07:16:10
72,55,125,212228564,2022-06-14 09:16:52
73,68,28,169771586,2022-05-11 18:32:20
74,94,78,102220427,2022-07-30 18:56:23
75,53,63,105741398,2022-04-27 07:58:47
76,43,102,397814753,2022-08-23 22:31:59
77,13,124,117807899,2022-09-10 11:04:00
78,95,79,87186788,2022-10-28 03:27:27
79,3,180,82222123,2022-09-04 02:32:58
80,35,116,88330131,2022-12-16 01:57:29
81,24,36,156859645,2023-02-14 16:35:24
82,5,108,87696196,2022-07-30 13:09:02
83,11,14,167350219,2023-03-21 12:31:22
84,44,118,205140081,2022-12-29 18:36:50
85,25,163,157664810,2022-10-20 09:09:48
86,14,131,190841946,2022-09-21 10:57:51
87,69,116,84350431,2022-11-10 12:49:29
88,37,139,209551323,2023-01-23 16:23:06
89,7,145,92883839,2023-01-13 14:39:16
90,77,48,172297590,2022-06-22 09:20:16
91,76,15,95676808,2022-07-06 04:56:33
92,23,108,94668038,2022-07-15 01:40:49
93,84,15,115005371,2022-09-06 11:12:21
94,12,64,108889507,2022-09-22 11:57:37
95,63,6,179818089,2022-04-06 14:42:30
96,88,181,115167104,2022-10-10 08:07:52
97,89,12,109798571,2022-12-29 08:24:04
98,71,70,200561412,2022-08-29 18:02:43
99,95,96,73485574,2022-03-23 09:44:08
100,3,52,102749394,2022-04-23 01:50:59
101,39,82,60636542,2022-08-27 05:43:52
102,50,46,189326554,2023-01-04 03:41:01
103,41,102,389504602,2022-06-04 13:25:48
104,36,178,160402891,2023-01-10 04:41:54
105,29,62,161167799,2022-11-02 04:43:17
106,97,183,94633356,2022-02-11 16:34:05
107,63,1,160188008,2022-05-30 18:53:29
108,93,175,326150672,2022-03-07 11:08:04
109,35,22,102009701,2022-05-12 07:18:19
110,21,1,153047110,2022-05-14 17:40:25
111,72,45,142607600,2022-07-12 05:10:55
112,8,89,137304905,2022-10-14 06:01:26
113,80,45,156713902,2022-09-20 06:58:47
114,72,87,96831020,2022-07-23 20:34:33
115,43,164,136110726,2022-11-16 02:57:34
116,76,177,104405569,2022-09-07 12:16:34
117,29,14,183978338,2023-02-25 01:39:01
118,70,69,200762310,2023-01-16 18:40:34
119,21,29,158035318,2022-07-18 12:40:50
120,67,114,319860066,2022-06-21 11:15:44
121,61,84,155427949,2022-06-21 04:21:41
122,64,165,255030405,2022-11-24 05:38:22
123,29,55,373610483,2022-08-11 19:18:58
124,97,1,157398552,2022-04-10 04:52:24
125,36,163,160270357,2022-10-08 23:01:41
126,14,181,123852917,2022-11-10 05:56:59
127,10,116,102885189,2023-02-24 12:04:11
128,47,191,399295131,2023-01-19 19:46:22
129,89,48,198304838,2022-07-31 22:41:56
130,98,48,186109993,2022-09-22 09:38:41
131,81,112,146558368,2022-06-08 23:19:50
132,84,62,135406871,2022-09-25 13:42:15
133,26,132,199659537,2022-08-13 05:06:31
134,65,22,114991642,2022-05-31 01:30:28
135,88,177,88982755,2022-11-27 16:59:00
136,58,67,150141667,2022-09-29 05:05:21
137,23,6,182935735,2022-06-24 20:47:49
138,78,28,153341184,2022-03-27 03:24:18
139,2,45,140488245,2022-06-20 23:02:14
140,82,82,60968884,2022-07-21 10:25:48
141,85,82,81722644,2022-07-26 15:55:46
142,11,40,100667446,2022-04-11 07:50:50
143,83,153,104586859,2022-07-13 17:14:37
144,96,153,120426292,2022-06-01 05:44:04
145,78,1,143586173,2022-05-16 19:41:45
146,5,126,176552110,2023-01-28 07:31:29
147,9,16,110484299,2022-11-01 09:51:29
148,88,80,372111077,2023-03-20 02:34:48
149,32,157,95213978,2022-12-12 20:07:17
150,43,64,90853232,2022-10-15 10:17:21
151,15,26,199251442,2022-06-28 11:22:14
152,54,124,107345831,2022-07-21 15:51:29
153,27,105,92722994,2022-06-26 21:59:35
154,1,70,211495320,2022-10-13 21:13:54
155,19,136,114537898,2022-05-16 07:54:06
156,68,137,130065545,2022-10-17 16:58:23
157,58,22,110075585,2022-06-30 06:27:48
158,98,93,177582819,2022-07-17 12:07:14
159,54,96,87385256,2022-02-28 10:30:21
160,92,78,96358302,2022-10-01 08:40:31
161,29,131,191475722,2022-09-15 21:29:11
162,88,80,381890877,2023-01-22 12:38:29
163,3,70,218147621,2022-11-12 22:22:11
164,97,162,192118282,2023-01-28 09:44:08
165,42,124,106884450,2022-09-17 22:38:12
166,6,186,385905291,2022-11-02 21:18:05
167,60,83,94904303,2022-10-14 10:31:03
168,44,78,99306726,2022-10-23 06:35:21
169,63,170,229850132,2022-11-30 13:11:14
170,10,103,85795773,2022-06-15 02:51:41
171,96,11,329964993,2022-08-27 02:46:24
172,9,181,116710728,2022-12-16 15:13:22
173,46,153,101299305,2022-07-12 20:56:27
174,64,112,135600529,2022-06-29 05:37:50
175,94,145,113579356,2022-12-24 22:36:33
176,62,176,107650302,2022-08-29 14:37:29
177,91,133,144997310,2022-09-02 08:08:11
178,73,103,94294622,2022-04-26 21:03:36
179,59,124,113532021,2022-11-02 23:52:15
