bid_id,user_id,ad_id,bid_price,bid_date
1,100,138,371072440,2022-05-04 17:33:57
2,87,68,101727498,2022-12-20 08:37:52
3,57,71,153273238,2022-04-20 10:05:24
4,71,68,104056167,2023-01-21 14:21:53
5,100,119,110335867,2022-10-22 18:49:58
6,17,7,133896800,2022-10-05 00:15:46
7,44,185,257389404,2023-02-12 03:54:35
8,13,98,72176474,2022-06-26 08:01:26
9,28,51,93043136,2022-11-20 08:10:03
10,28,90,239570472,2022-04-20 22:07:59
11,42,10,118098243,2022-11-01 19:15:51
12,60,146,138789936,2023-02-27 00:43:46
13,87,44,229936413,2022-05-25 07:31:08
14,56,73,127731286,2022-07-09 12:11:11
15,19,188,103188974,2023-04-24 14:50:32
16,59,63,146211594,2023-01-20 02:56:08
17,64,126,160755317,2022-10-17 18:34:54
18,71,156,94935889,2022-12-17 09:26:42
19,26,200,348339846,2023-02-21 11:46:42
20,21,62,327675778,2022-07-30 00:00:58
21,42,106,204968926,2022-05-21 01:30:50
22,88,74,106632854,2022-09-07 20:39:58
23,53,144,215505346,2022-11-01 21:58:52
24,86,14,152668792,2022-10-27 12:29:23
25,20,98,89565390,2022-06-18 08:38:31
26,13,79,154088696,2022-12-24 22:52:33
27,100,74,86743654,2022-08-21 20:48:52
28,56,167,95064735,2022-05-21 06:35:32
29,84,55,167011672,2022-11-17 21:37:30
30,42,51,89460704,2022-12-23 13:12:35
31,57,193,395893306,2023-03-24 19:45:01
32,96,90,239910810,2022-03-19 05:41:55
33,59,38,144574416,2022-05-08 23:28:14
34,20,9,92290662,2023-02-27 11:33:44
35,20,159,210181175,2022-05-16 06:08:31
36,59,8,155580689,2022-07-25 14:19:20
37,15,22,146149601,2022-07-05 09:26:35
38,86,20,88841934,2022-06-02 06:39:52
39,53,88,391027929,2022-09-20 18:38:27
40,94,84,201790389,2023-02-24 11:30:59
41,88,177,215644332,2023-03-07 17:15:58
42,1,200,326707661,2023-04-22 05:29:37
43,26,148,320365505,2022-10-29 09:35:25
44,19,8,146524289,2022-09-11 05:10:10
45,37,65,64739176,2022-07-29 19:00:26
46,60,44,228779661,2022-05-28 05:26:12
47,42,86,76490835,2022-04-10 15:20:20
48,59,180,171607193,2022-06-03 15:18:18
49,42,39,77460176,2022-05-29 08:25:44
50,18,100,107965960,2023-02-13 14:04:39
51,44,13,101993623,2022-09-27 09:31:04
52,19,151,171247292,2023-01-25 09:42:41
53,79,27,243456631,2022-08-27 20:51:31
54,83,44,229860642,2022-08-29 07:37:16
